"1","1","http://schroeder.org/","5342212","","1","1976-10-28 00:00:00","2002-06-16 00:00:00",
"2","2","http://kautzerconroy.com/","873","","2","1992-05-19 00:00:00","1985-09-01 00:00:00",
"3","3","http://littel.net/","141012","","3","1983-09-01 00:00:00","2019-07-24 00:00:00",
"4","4","http://www.satterfield.org/","92","","4","1992-05-12 00:00:00","1984-04-19 00:00:00",
"5","5","http://swift.com/","2132089","","1","2000-07-11 00:00:00","1992-02-24 00:00:00",
"6","6","http://www.deckow.com/","394","","2","1990-12-10 00:00:00","2015-07-12 00:00:00",
"7","7","http://schuppemiller.com/","193","","3","2005-04-19 00:00:00","2019-05-10 00:00:00",
"8","8","http://murphyzemlak.com/","395","","4","1975-02-26 00:00:00","1981-11-13 00:00:00",
"9","9","http://reinger.com/","67406","","1","1982-03-03 00:00:00","2003-09-20 00:00:00",
"10","10","http://www.mayer.com/","16027133","","2","2013-03-03 00:00:00","1970-08-05 00:00:00",
"11","11","http://rathjohnston.com/","3481","","3","1982-01-07 00:00:00","1982-06-28 00:00:00",
"12","12","http://funk.biz/","19034687","","4","1985-09-25 00:00:00","2003-12-21 00:00:00",
"13","13","http://www.gutmann.info/","162592958","","1","2004-03-13 00:00:00","2014-08-15 00:00:00",
"14","14","http://beier.com/","23695","","2","1984-06-30 00:00:00","2000-05-01 00:00:00",
"15","15","http://www.considine.info/","6510","","3","1974-05-26 00:00:00","1987-03-04 00:00:00",
"16","16","http://www.vonroberts.com/","397","","4","1997-04-11 00:00:00","2011-06-07 00:00:00",
"17","17","http://www.wolff.com/","8022","","1","1988-03-27 00:00:00","1976-10-20 00:00:00",
"18","18","http://gutkowski.com/","393","","2","2015-06-19 00:00:00","1979-02-09 00:00:00",
"19","19","http://www.pfannerstillhintz.biz/","363","","3","1970-07-09 00:00:00","1971-06-22 00:00:00",
"20","20","http://www.gaylordosinski.com/","5801760","","4","1996-05-31 00:00:00","2020-01-12 00:00:00",
"21","21","http://www.dicki.com/","3179903","","1","1988-03-20 00:00:00","1978-04-27 00:00:00",
"22","22","http://stoltenbergstroman.com/","26777659","","2","2008-05-24 00:00:00","2000-02-22 00:00:00",
"23","23","http://bergnaumaltenwerth.com/","328","","3","2009-05-26 00:00:00","2020-04-24 00:00:00",
"24","24","http://www.medhurst.info/","349976858","","4","1991-06-22 00:00:00","2009-04-13 00:00:00",
"25","25","http://www.stanton.org/","371","","1","2006-11-12 00:00:00","1977-11-04 00:00:00",
"26","26","http://kuhic.com/","289","","2","1991-10-02 00:00:00","1981-12-15 00:00:00",
"27","27","http://gutkowski.com/","20","","3","1977-07-09 00:00:00","1996-07-23 00:00:00",
"28","28","http://hintz.com/","885641","","4","2018-12-30 00:00:00","2018-06-22 00:00:00",
"29","29","http://shields.com/","620","","1","1985-04-10 00:00:00","1989-09-04 00:00:00",
"30","30","http://dach.com/","3300","","2","1972-05-03 00:00:00","1997-10-26 00:00:00",
"31","31","http://willms.com/","396","","3","1984-06-03 00:00:00","1985-01-27 00:00:00",
"32","32","http://barton.info/","233","","4","2000-02-25 00:00:00","1997-10-26 00:00:00",
"33","33","http://murazik.net/","4572987","","1","1985-08-15 00:00:00","2003-02-16 00:00:00",
"34","34","http://www.ryan.net/","464","","2","2016-10-13 00:00:00","2020-04-05 00:00:00",
"35","35","http://www.sipeshettinger.info/","211","","3","2010-12-28 00:00:00","1989-02-11 00:00:00",
"36","36","http://www.lebsack.com/","5181","","4","1978-12-11 00:00:00","1976-01-04 00:00:00",
"37","37","http://bartell.net/","42050","","1","1995-09-23 00:00:00","1977-09-25 00:00:00",
"38","38","http://www.braun.info/","194215","","2","2018-09-22 00:00:00","1990-09-10 00:00:00",
"39","39","http://brekke.com/","405879","","3","1971-03-12 00:00:00","1977-02-01 00:00:00",
"40","40","http://www.hamill.info/","70506440","","4","1974-06-12 00:00:00","2015-01-12 00:00:00",
"41","41","http://www.nolan.biz/","4527","","1","1993-05-10 00:00:00","2003-12-01 00:00:00",
"42","42","http://www.huelssteuber.com/","2111921","","2","1998-01-03 00:00:00","2017-11-07 00:00:00",
"43","43","http://www.mckenzie.info/","555","","3","1989-11-02 00:00:00","2006-06-23 00:00:00",
"44","44","http://www.quitzon.org/","901","","4","1987-03-19 00:00:00","1979-09-30 00:00:00",
"45","45","http://bergstromtrantow.net/","321","","1","1981-01-09 00:00:00","1997-04-22 00:00:00",
"46","46","http://maggio.com/","251","","2","1986-03-02 00:00:00","1981-10-16 00:00:00",
"47","47","http://hessel.net/","297","","3","1999-11-14 00:00:00","2009-05-17 00:00:00",
"48","48","http://www.smithkertzmann.info/","337","","4","2013-12-31 00:00:00","2016-11-22 00:00:00",
"49","49","http://ruecker.com/","24281","","1","2001-05-06 00:00:00","1990-07-04 00:00:00",
"50","50","http://larkinwunsch.com/","334088164","","2","2010-05-12 00:00:00","2006-12-07 00:00:00",
"51","51","http://www.ryan.com/","109595","","3","1993-09-25 00:00:00","2011-10-19 00:00:00",
